seed,sample,cluster,PC1,PC2
33,2,-1,-45.93850757672051,-35.724625170813475
33,3,-1,-46.841805102428054,-36.36861657600761
33,4,-1,-47.181648573171934,-36.80189721672267
191,0,-1,-47.519747186835005,-37.18695358426698
158,2,-1,-46.48570975104228,-35.465023262599814
191,3,-1,-47.2104560723741,-37.23409896210967
33,0,-1,-46.55442636691392,-36.31205269040437
191,2,-1,-46.96956798450147,-36.65102453375697
33,1,-1,-46.71436627630748,-36.67078615249375
147,1,0,5.424529517525235,-5.77205812329569
158,1,-1,-45.999863382689306,-36.57257563469394
158,3,-1,-45.887366728898215,-35.50019180077255
158,0,-1,-46.26666668895747,-36.076398781164556
191,4,-1,-46.94203521591549,-35.16445479104951
168,4,0,6.716595359964341,-4.719365575540274
24,1,0,5.883922030277253,-4.960196196941188
143,4,0,6.203723198367743,-4.89417099899291
147,3,0,6.147154883434214,-4.548856077770111
147,2,0,6.429293144101748,-4.808855214458755
243,4,0,6.363423253217713,-4.453562235465139
147,0,0,5.777209362614243,-4.53796484242406
158,4,-1,-46.50085415836092,-36.255590752030834
17,1,0,5.342496073866824,-5.417249893462785
217,4,0,5.80091719553995,-4.412634788247916
143,2,0,5.950583066477792,-4.976093694789077
105,2,-1,-45.26339471737101,-34.72410151198973
48,0,0,5.724579579934948,-4.916337101279441
236,0,0,5.5084892606475435,-5.073406992386136
143,3,0,6.412796119701997,-4.5519627201587864
17,3,0,6.016306965334722,-4.857390782520042
243,1,0,5.96715510391437,-5.06335191812023
143,0,0,6.522958365705926,-4.3244742830827185
243,2,0,6.518040510573279,-4.760875807674669
22,4,0,5.603205043238891,-4.762654294628432
243,0,0,5.725128000819266,-5.321801156763183
147,4,0,6.222278322560257,-5.037516264582225
113,4,0,5.514152677649973,-5.781655374338722
126,2,0,7.273671706912412,-3.582135816563123
126,3,0,7.405293016345531,-4.064125720329728
17,0,0,5.6087070942451795,-5.080492849880635
217,2,0,6.283444933909526,-4.333280755956245
15,1,0,5.221274803223787,-4.873606039621205
126,1,0,6.5128689351275595,-4.80990429623265
79,1,0,6.223078284588676,-4.704585395793212
41,1,0,5.740125068825638,-4.703428896001032
13,2,0,5.688135055231264,-5.344655124175705
136,3,0,5.317207178953191,-4.9313971377520165
231,3,0,5.783141857128286,-4.254979808818624
113,3,0,6.325261149019175,-4.8906040742954415
