seed,sample,cluster,PC1,PC2
149,4,0,16.90619655369201,-3.86782904678874
230,2,0,16.038375566729233,-3.2033065884263805
224,1,0,17.311237762729753,-3.2145628538976045
63,3,0,16.947216851643052,-3.0161724371849186
201,2,0,16.225031120568218,-4.229744822368367
55,0,0,15.054333800966603,-4.523717233816924
75,0,0,14.60770765902623,-4.259940246119575
8,4,0,16.55714334242116,-4.71663227904341
138,3,0,14.691452930717048,-4.808723118963023
160,0,-1,-1.3761687637150641,6.089907032176499
168,2,0,17.031691754349655,-3.6878962228378143
82,4,0,15.652596572360133,-5.520779517308355
174,2,0,16.086826615218648,-4.307992496968726
122,1,0,15.509678175925613,-4.2174750380879225
112,1,0,15.243082412250647,-5.377523761749789
189,1,0,15.498736992553312,-4.084141417333352
103,4,0,15.871273071881053,-3.6740646384019624
80,0,0,16.283644715508874,-3.5771305734099315
223,1,0,15.590975620300892,-4.75756554012452
191,3,0,16.198324985641253,-4.234375934937006
149,3,0,16.08296555339995,-3.9576944789399287
172,4,0,17.180819713443714,-3.7470892098723616
168,3,0,15.441294452146918,-4.536252908224515
49,0,0,15.416597910615318,-4.592102217116663
122,2,0,15.952482741247602,-4.563079208525373
250,0,0,15.989096880903844,-3.840845905449126
36,4,0,15.280377780158048,-4.297319138361896
167,4,0,15.637637562841222,-4.787850698015521
136,1,0,16.00406202906142,-4.099494160365884
178,2,0,15.744824928827416,-3.2644699400975052
62,0,0,15.165576946476358,-4.674069544578857
151,3,0,14.844342788742383,-4.0978824517892525
171,0,0,15.398084857340727,-3.4578113632485987
99,2,0,14.990154135497749,-4.944169808113025
140,3,0,15.411286096495344,-4.610006004637901
105,4,0,15.086505363249778,-4.0619736336401635
48,4,0,14.543720437922566,-4.815983141014917
39,4,0,15.681835631743427,-4.430316520125193
115,4,0,15.831644964031716,-4.430512821310535
76,4,0,16.3684326376639,-3.43413196093453
144,4,0,15.728269694152383,-3.821354905038273
227,4,0,14.597212151752162,-4.0551391204501055
119,4,0,15.434035597359385,-4.373024963830694
175,0,0,14.863806596398028,-3.9617532070000854
191,0,0,15.068978279661836,-4.144280141865161
63,0,0,16.21466726637954,-3.7819169548872016
211,2,0,15.320889281573258,-3.582500041521085
82,0,0,14.500031842244235,-5.387740261922241
140,2,0,15.441318318099482,-4.188635200332588
82,3,0,13.59116833474889,-4.753649173353213
198,0,0,15.17630020041234,-4.46903643480144
95,2,0,15.031669475959356,-4.529948409395794
171,4,0,15.022097442874488,-4.291054089098915
98,2,0,14.128317849610765,-3.6910425375796057
45,1,0,14.73027178466001,-4.68615602479529
120,4,0,16.3316665736716,-3.8334497439287873
23,2,0,15.493185493155156,-4.670199735160338
13,3,0,16.261133775783907,-4.7195113709267975
245,0,1,1.6795811921656172,3.441378169597034
149,2,0,15.578907449839152,-4.041658791632542
68,2,1,0.07979598776978827,3.338242951602507
212,2,0,16.946157637048785,-3.5616849704786273
175,4,0,14.253340627406184,-4.774691764116008
250,2,0,15.110447024943149,-4.603257007509892
113,1,0,15.659982953449685,-3.977696607753723
89,2,0,16.34113880749187,-4.910866671087281
148,3,1,1.7328868214652844,3.568890164230653
51,0,0,15.116911873164248,-4.8688071935926205
231,3,0,14.82543664283182,-4.276043548915209
117,3,0,15.301911646880615,-3.772706174252028
44,2,0,14.898232734455265,-4.417342544981354
38,3,1,1.8140998257882286,4.429928020086588
223,4,1,1.3592615032729891,5.151251202897807
188,4,0,16.14761726768189,-4.038304486511149
177,0,0,15.308370622362135,-5.134512548043406
131,0,0,14.932019651904625,-4.468793078466841
189,0,0,16.03017274545264,-2.972885054075854
124,3,0,15.60898861360212,-4.059624367315555
201,3,0,14.474024300529955,-5.284622153638354
27,3,0,15.848439201832253,-4.11446759146493
105,3,0,15.31264754734032,-3.9175135312597495
124,2,0,14.9131542893897,-4.899285868398529
36,2,0,15.934164226623277,-4.408809539090968
239,2,0,15.200675993327662,-3.58640427855969
113,4,0,15.465036954883287,-3.674575294741355
4,3,0,14.21540799262478,-4.30995106281754
206,0,0,14.378457382596682,-4.394965429528662
67,0,0,15.421982662190366,-4.6545605656536315
84,1,0,15.326026368152549,-4.4657817169213745
124,1,0,15.770122389270432,-4.370492463306023
169,2,0,14.693887015645762,-4.84807093038531
107,3,-1,13.086516365236834,0.9621113932579514
89,4,-1,11.817045319788752,-1.6920494967076498
105,1,0,15.698301621805678,-3.82401614063537
121,2,0,15.03765266221341,-4.87456658807245
248,4,0,13.139985629453092,-5.177575444099864
159,1,0,15.00121966751481,-3.8071370401472078
26,4,0,16.51470565586671,-4.3566869859134725
76,1,0,14.762147198800905,-4.318188387206636
52,2,1,0.5855468197506176,3.3401057796143765
91,2,0,15.814574854071573,-4.530916537985924
52,4,0,14.31701108729731,-3.6685246198079864
166,3,1,0.33390803751569903,3.326887929289224
155,2,1,-1.1316671566277825,3.535961674744458
26,0,0,15.206737860459166,-4.3516754251028615
64,1,1,-0.2956409530403808,3.0312272732661114
3,0,0,15.746466756787846,-4.440311845601378
81,0,0,15.117370362203532,-4.99881032091624
164,1,0,15.639719315946119,-4.4531796597783755
188,3,0,15.999968123073701,-4.464384917627917
12,1,0,15.469702417022642,-4.408110843243843
154,0,0,14.958209000926999,-3.7417887202015
96,1,1,0.1172244176318257,3.734854578201194
29,2,0,15.340451849096752,-2.949924923859955
131,3,0,15.614224479620962,-4.21785883957717
21,3,0,15.132501155082123,-5.376506891560899
150,4,1,-0.041441599874007196,4.944574895290592
199,2,1,-2.3709802464899297,1.880347592684994
172,0,1,1.2221029758581745,3.103025533221705
21,1,1,1.7561453855467735,3.675377886491027
205,1,1,2.1027712140986523,3.7330614052209317
1,3,1,0.8080891304942117,2.770027289463853
89,3,0,15.560528553241863,-4.20386172374457
66,0,0,15.247248718998076,-3.9802115141171828
233,4,1,0.08636347130218183,3.318953017167035
19,3,-1,8.515022138127328,-1.5411717873450572
69,2,0,15.650516277381922,-3.9829670714535452
143,2,0,15.3279333536013,-3.545861119731752
147,4,1,-2.0102497726554156,1.9298109854297065
76,3,1,0.6356468444775157,3.275793017797743
172,1,0,15.823606472491493,-4.817115384834494
211,3,1,0.16799300018468,2.980228668506315
66,3,0,15.351307926678325,-4.4195082158526855
145,3,1,-0.2826536029717081,3.174778715772418
37,0,1,1.148777810824072,3.4262570244168455
120,2,1,0.261533780218221,3.813616378211041
55,2,1,0.0054575084166273765,2.894909091511467
178,4,1,1.013650108562941,4.134387246860971
161,0,1,0.14592336403418843,2.383255832326274
124,4,0,15.174637525618376,-3.4701808851271965
106,2,0,15.356319072588379,-4.5843589933778714
180,3,1,-0.5295915086226167,3.184495012734158
126,2,2,-7.2750867256236615,-5.3806089041326395
212,1,0,14.999820017908728,-4.707376566874734
37,2,1,1.220663206857606,2.8554687976465507
43,4,0,16.097858267460754,-3.634512473872951
90,0,1,-0.7281273175136093,3.557494975475791
214,0,1,0.8766644899650821,3.5388116429761123
41,1,0,15.289257669623506,-5.001589825734819
59,0,1,-1.198499414152887,3.9214049977263175
119,3,1,-1.8245448896073588,0.43872601654946464
126,3,1,-1.0276264558677357,2.6032619567111763
39,0,0,15.682072775810871,-4.035874715581788
193,2,1,-1.4431168475201372,1.553332886950298
5,3,0,14.70704669685874,-5.0459100756827535
234,1,1,-0.9799057417515566,3.105687558333642
198,4,2,-6.208834712782494,-4.521820297572921
66,1,0,14.866133512802527,-4.496531247551032
212,3,0,14.521113364785212,-4.524726236378764
225,1,1,0.020468647976246927,3.0630646133161172
187,1,1,-3.4347552040101386,2.779124251521838
242,1,0,15.730400661139043,-4.234787070285171
145,4,1,-1.6046311788770995,2.470991828587928
52,3,1,0.38411561974492037,2.141971651714776
11,0,1,-3.5450151232951352,0.5406497947124345
27,0,0,14.315080407427834,-5.356472291931892
44,0,1,-1.2994325939657128,2.1281146707049037
31,0,2,-5.959493755721254,-6.285424308285457
121,3,1,-1.5424325823985061,1.513922735254943
63,4,1,-0.6414178041666554,2.749161944225234
203,1,1,0.7182044735386295,2.3463971125527263
40,2,1,0.4547121670449653,3.847258763758936
124,0,1,-0.3931328688254405,2.0530406088443702
11,4,1,0.9806803209100136,1.5650740527883038
198,3,2,-6.200811257407289,-6.301028828089106
17,2,0,16.203520552267204,-3.895330214623368
138,0,1,-2.7110539618274596,2.601608202115582
64,3,1,-0.37189132156479526,1.4834989665531968
31,1,1,-1.0418518469193156,3.091346445491084
154,3,1,0.5085321894354835,2.9698543304292033
111,4,1,-0.31133502950268166,3.0709855154677967
147,2,1,-1.278705785612883,1.030591775492585
119,1,1,-1.5374514993691075,2.6641544905833174
31,2,1,-0.8174170888817599,1.8032431788973384
198,1,1,-2.0053234336514265,1.6674627428936113
222,0,1,-3.072463880527245,1.4274751599139224
64,4,1,-0.6049653606783923,2.2607427539656566
103,1,1,0.6515656212409022,3.16742667867901
93,0,1,1.4343321926522044,3.892107903127613
23,4,1,0.5830496146329601,2.9958767287363743
227,3,1,0.1477799558804836,3.9838690043441987
236,3,1,0.04082031277330013,2.966557449946361
62,1,1,0.31411107404303346,3.312341541573376
133,1,1,-1.1467661635830355,1.8159860749481977
66,2,0,16.219431594515118,-3.589071948885466
222,4,1,-0.9644849279306357,2.888117943126056
148,4,1,-0.3033441030220352,1.254381075445583
117,4,1,-0.6680495202469015,2.767220184491944
231,4,1,-0.6789572215865041,1.3666216280612056
193,4,2,-6.752800175358584,-4.345471387261246
67,3,0,15.204609747763627,-4.913188654754702
17,4,0,15.181764367256717,-4.682092097367804
155,3,2,-5.790839189386315,-5.759860130095749
16,0,1,-0.6798117127027469,2.870104540132383
245,4,1,-1.2409697852988546,0.26302782072389275
171,2,2,-5.457629127924952,-4.759140239901686
142,0,0,14.24469228608778,-3.7465004714429937
154,1,1,1.098891945601931,3.600235188413293
57,0,1,-1.8340137877495035,3.364665864029976
44,4,1,-0.6641750777647539,2.7569859183905954
147,3,1,0.7640462044662579,2.276269333503025
221,0,2,-6.558986464266349,-4.620472804670064
203,4,2,-7.203680993581874,-4.550922255024783
231,0,1,1.871927810552587,2.7209937606516807
82,2,1,0.07145955118450592,2.25616346777683
125,4,1,0.5724384162175394,3.502128060146411
51,1,1,-0.7708309157506771,2.7560968211195416
22,0,1,-0.9454738056192662,1.482321852944017
119,0,1,-1.6716663031183079,1.701547873230132
222,3,1,-1.0402939059004264,1.802017324229552
98,4,1,-0.7035750402861927,2.222392574460285
119,2,2,-7.012243144529546,-5.825639751904037
211,4,2,-6.253785847945698,-5.7921658891629155
223,3,1,-2.6608023692101064,1.2492568877117387
34,0,0,15.610463627989954,-3.9499741776582304
51,3,1,0.8005042691257114,3.3289591649272414
182,2,1,-1.1311801033180513,3.807796033838104
48,1,1,-0.3288933902838212,1.999085035367664
193,0,1,-0.1852631002928514,2.02602096627942
130,1,1,-2.5163818121238837,1.758685138763583
49,4,1,0.5224915815868428,3.3405212620178286
22,2,1,-0.3900615050209177,2.2098676741433345
143,4,0,15.201079133593074,-3.969460654410592
157,4,2,-6.911010780821731,-5.423654221967148
133,3,1,-0.36971124423208257,2.916254960686246
199,4,1,-1.152501748548034,2.277791788890926
9,0,1,-4.139800928971137,1.18739629800033
187,0,1,-1.1065558884890285,1.93963665097005
133,4,1,-2.685257878022657,1.6662292364475484
226,2,1,-1.3886428399227497,1.5910438276943648
118,1,1,-0.8329998300174486,2.4697697902394466
187,3,2,-6.816129548415737,-5.0620051732528974
147,0,1,-0.5795892232445052,1.4463912208095118
86,3,1,-0.8096635710315044,3.663883660247393
50,3,1,1.3567180846753693,2.9247512669420277
197,3,1,-0.6080522549839156,2.357329022345403
92,1,1,1.9543767652784554,2.070243037628013
30,4,1,0.20295316754333664,4.4586560923466445
31,3,1,-1.1032598690783013,3.0889454328762964
111,1,1,-1.6501564320000996,2.4216264062701613
98,1,1,-1.3676023214366302,2.0184884421742026
221,3,1,-1.3733919746915964,2.6931011599035637
197,2,1,-1.7770969227502262,1.0736030834615689
133,0,1,-1.5712517239847041,1.6240275619741364
214,2,0,14.902365470051784,-4.858573242597308
62,3,1,0.6288541104303916,3.6343495165826862
38,1,1,-1.8978068471140992,2.573293998719168
100,1,1,0.6907649233285841,3.6111444692078662
82,1,1,0.5798202267396039,1.5048552316735024
226,4,2,-5.344707725693299,-4.492117867525242
120,1,1,-3.87990428203285,1.5920300613572718
51,4,1,1.617585547894094,2.343505580602474
103,3,2,-6.14324146873499,-6.842109194560136
221,4,2,-7.254354990987836,-6.272957684345705
154,2,2,-5.212921554508137,-6.209441039142744
224,3,1,0.33073058077175965,2.061380336088711
11,1,1,-1.935714526418628,2.638761767217017
44,1,1,-0.029082643504404912,2.5618226606930024
117,2,2,-6.832944312149632,-5.092362635395618
98,0,1,1.9577452545729255,4.275531543315375
5,0,1,-1.539993548073266,2.6606839455561775
221,2,1,-1.8636271619108087,1.9888816891103005
137,4,1,-3.4232303110093016,1.0142504070082299
129,1,2,-5.076122584887041,-5.637528963272041
237,4,1,-0.768938289287734,2.3617413322247867
240,3,0,15.989376060491153,-3.8716853739688273
211,0,1,0.4668084001375998,2.6450491011324364
238,3,1,-1.8903695877788955,2.4400959628097034
153,0,1,-1.0399488026591752,2.8726472190577383
77,1,1,1.0242585176949013,2.377972751163969
230,1,1,2.931011506066768,4.130631400597726
173,4,2,-6.720366909945175,-4.000958437365693
77,4,1,0.614732037155294,2.8608704215653367
48,0,1,-0.7572466044308483,3.0489848034098856
104,2,1,-0.7811019769586883,2.5440082323026685
219,1,1,-1.8704299180075281,3.100743910825389
45,3,1,-2.723249499910386,2.206735417659603
157,1,1,-1.4260089395832103,2.7427434807215683
154,4,2,-5.6564980887722776,-4.845898220914984
74,3,1,-1.200958654198069,1.8478615884913463
41,4,1,1.6919742293445657,3.6916105385298197
163,0,1,-0.7044122704986282,2.15832300353027
195,0,1,-1.1991103575342899,3.672987643939574
24,1,1,-2.9030971981960274,1.5355051153572152
17,1,0,15.917353161787627,-4.338427089202339
219,0,1,-0.7880806352791027,1.3674580151749323
234,0,2,-6.883803773035274,-4.955053670944854
137,0,2,-6.53229515887219,-4.81745582631731
11,2,1,-0.18517669507862095,3.015798111937896
26,3,1,1.0468809783517363,2.7938275684137253
62,4,1,-0.8333154479616295,2.5117924912982854
189,4,1,-0.37889041625383235,3.4424779765342612
103,0,1,0.2608387715169884,3.403899811693437
92,3,1,0.8002611841429013,3.6700332104576012
84,0,1,-0.9251554684003451,2.8186742108779335
93,3,1,-1.1482758742267518,2.2899560302199324
249,1,1,0.9799149579310105,3.411104853573617
120,3,1,-0.5046592080289328,4.207912995169918
58,4,1,-2.0402756902007337,0.7644449797327367
233,2,1,-1.378866569315814,1.5831415707846597
3,3,1,1.1559882910522132,3.5116888587725965
4,4,1,-0.5082686632234893,1.9738283017067495
56,1,1,0.4856549088942035,4.014296744262926
197,0,1,0.38437443676464284,3.5534417165577117
209,2,1,-1.2656253544001872,1.9135541280345039
30,3,1,-0.6620319640881145,0.7696003980462421
62,2,2,-7.399265118395614,-5.912360429559101
22,3,1,-1.762440306937217,2.036967389250152
166,0,1,-1.3779091251324034,2.853628815932165
230,4,1,0.32138718109334596,2.348064052069472
222,2,1,-1.130556166847466,2.5647273516328624
26,1,1,-0.0811174996180162,2.9634041403092146
54,1,1,-0.4523865902032166,3.4884124600096142
145,2,1,-2.180648476439088,1.9719950598281528
29,0,1,-2.558791227876949,1.4180010070180034
125,3,1,-0.48498704889657385,3.118112462573834
215,4,2,-7.579083576477227,-6.659180760838989
249,4,1,1.431145834493791,3.6719881012677336
131,1,1,0.6046347265889583,3.483833328923516
209,3,1,-1.7469228501732634,1.9246990449506898
250,3,2,-6.600067078750432,-4.719762424709319
57,4,2,-6.5234856914407935,-5.361394821996587
236,4,2,-7.326695922439403,-4.9499730841275955
33,0,1,-2.5004662789787697,0.8556366631575498
141,2,1,-0.9994867739393765,1.8048469505295577
227,1,1,-2.1303409153944375,2.2760272312860788
216,4,1,-1.7203507208327293,2.0331080812703135
237,1,1,-2.199640931212156,0.7270468940490472
2,3,1,1.1518587146476846,1.975160223927132
181,4,1,-0.4708446936525893,1.7481597498876567
223,2,1,1.740422121417633,3.345421577794311
163,3,1,0.9266341723238306,3.2497523931772885
128,2,-1,3.7076681782513483,3.745095034578519
215,2,1,-1.4717634183529869,2.195247963001583
9,2,1,0.6876819505885482,1.6222647873351823
28,0,1,-2.1097571751471516,3.4777435724430665
15,3,1,-1.26326508515769,2.331480200750798
199,1,2,-7.163094813747752,-7.338803655521664
11,3,2,-6.469408207181478,-6.059716993477124
18,2,1,-0.37650101937068453,2.0222819581236045
99,3,1,0.46726313620377946,2.60944507871456
126,4,1,-0.7816869161868945,1.769096688118616
12,3,1,-1.8253509777103551,2.560962711290957
132,3,1,-0.8076053944753692,3.7920246855509836
84,4,1,-0.44183094438711457,3.16986039681723
72,0,1,-0.021416512947190696,2.1917073365014597
68,1,1,-0.2992830759460578,2.2065530302307543
198,2,2,-5.746449154951176,-6.132217636865756
194,0,1,-0.038289919637379086,1.1307145201105562
21,4,2,-7.038876979218603,-3.9017847621615314
132,0,2,-6.783519201187723,-6.959055588148989
108,1,1,-1.457634410276678,1.247740209065453
115,2,1,-1.7169758723459996,3.316682756231911
167,2,1,0.42767498729440706,3.9254215421477205
153,4,2,-6.883406757299657,-5.678781415657524
243,2,1,-2.5709228412828824,1.4972158581652628
136,0,1,-0.23153143423732703,3.1033033229040767
224,0,1,-0.652153527216489,3.0152819861515
42,2,1,-1.3248956713022366,1.2169182589769854
115,0,2,-6.4156565213461745,-5.925310745097151
19,4,-1,-3.867892177442225,-0.10455131395174988
88,1,1,0.2219453926535012,2.9031913725241463
88,2,1,-2.729730940403135,1.5463038796412931
209,0,-1,1.497347511314335,0.0060960737696570165
54,0,1,-1.030071799768698,2.6260941877013124
108,4,2,-6.187218974874424,-5.331365564624863
130,3,1,-1.3281925340028893,1.1402404078875246
144,3,1,0.7779750150677301,1.9340321872773587
150,3,1,-1.6371056424942618,2.622247177435546
185,2,1,-0.35436177019300236,-0.3161238860826119
1,2,2,-6.119920503673928,-4.283708235546647
213,0,1,-1.8309410377410802,1.6627280472156591
152,3,1,-3.0223997079748854,1.4210882287641267
219,2,1,-2.467993622298145,1.6097630714658133
132,1,2,-7.4785596157846745,-5.6089422401793865
241,1,1,-1.9731954103706084,3.2022568443883515
7,3,1,-0.5652823364006156,2.6875540600254917
25,4,1,-3.488286760637191,1.1391806677321876
149,1,-1,5.218325207850046,2.451408057003539
200,0,1,-1.3938085175718573,2.406050370998741
92,4,1,0.132651216229114,2.4133864629899833
39,3,-1,-5.096659810026473,-2.0875845084252225
208,2,1,0.18933428500976748,2.837287493998841
39,2,1,0.23457098574516924,2.3767301876500135
67,4,1,-1.3284065332935464,2.73758923276645
213,3,1,-1.4357211278599522,1.9163417246995011
144,0,1,1.0640373997057204,3.6099789037798447
142,4,1,-0.30600047094025934,2.5329767090424262
109,2,1,-0.9767303501906441,2.6479997696863116
143,0,1,1.2006490490201391,3.056056377754414
216,2,1,-1.3658283440273857,1.50676693219862
176,4,1,1.1732144405388287,3.7167725390568083
10,0,1,-1.0877224984042133,1.027118787886539
136,3,1,-0.9740411640968516,2.7000075716009153
60,4,1,-0.23304601627439867,0.36786076447495714
137,3,1,-3.5153767215713687,0.8947057770512803
117,1,2,-6.546924183174513,-4.976619251850472
55,1,1,-2.087008549869526,2.47972841860648
32,4,1,1.9650577776184635,2.533218407639807
100,3,1,0.41972732473739344,2.9404650503945033
22,1,1,-1.511813233069626,2.647813971510807
33,4,1,-1.5896389349745668,2.7899007154552375
39,1,1,-0.24622903902237084,1.5084562181077246
48,3,1,0.9232853464401191,3.492618078213797
111,0,1,-0.9151315713366078,2.3756383400071117
15,2,1,0.05519305442577513,3.1676424364284514
130,2,2,-5.447372897552187,-6.7277377394853435
171,3,1,-0.7792438492642386,2.838827508888613
180,0,1,0.2983676216868724,2.4545186184564756
64,0,1,-1.7690204722506422,1.6676770995943377
134,3,1,-2.2261406194751903,1.8811169002192811
246,1,2,-6.462307903315049,-5.094226980198579
186,3,1,-1.2542664876077851,2.1202272948298884
193,1,2,-6.359012662096524,-6.065880711241876
153,2,1,-1.65718521404542,2.737000075183606
203,3,2,-6.549487854904453,-4.603364000733834
200,3,1,-0.5492731829180684,3.255533649438117
68,4,1,0.6141063252395287,3.0201271611575446
232,2,1,0.6040162635926036,2.256583568516228
223,0,1,-0.11964235311335165,2.8306398895619913
143,3,1,0.16410747561728312,2.156157654658234
225,0,1,-0.021108924537686,2.152105521844623
23,3,1,-0.01683429641196701,3.2230645771225794
170,0,1,0.5487011139851826,2.9318784799439133
92,2,1,-0.5115903020282249,2.0135401644692994
195,2,1,-1.4527446726812927,2.325481959157208
231,1,1,2.370534431213329,3.804777494376373
138,1,1,0.12137826485877243,0.9016262230050809
87,0,1,-1.6884850665773612,1.4149828578451233
60,2,1,0.5344770939833055,3.2418545920869426
243,1,2,-6.333768146674773,-5.543562475236794
117,0,1,-2.120759128666877,1.1178870424389995
23,1,2,-6.074692231604137,-5.162429006751957
71,3,1,-0.9960581773083242,1.757681859411003
33,3,1,-1.5052661792861808,3.139859017165733
226,0,1,-2.3909068479277535,2.172513399723429
183,1,1,-0.6118563234041869,2.3744326824175555
118,2,2,-7.0948523830305135,-5.542169234423463
191,2,1,3.339790389225507,4.019115558208845
36,0,1,-0.4553525013265195,2.428084975025801
219,4,1,-1.7366605469318326,1.9210248043235567
6,0,1,0.21330961480882776,2.7028331334584554
244,1,2,-7.492613756282601,-3.5018866113306997
125,2,1,-1.6984870063442543,2.1505563595088297
205,4,1,0.19043614200638267,2.7515790273107075
64,2,1,-0.9946644587732002,1.988155645631477
227,0,1,-1.694317734443478,1.1924339866510343
90,4,1,-1.3862740180316906,2.1530419460512276
169,3,1,1.1489251003292336,2.863225211671176
163,1,1,-0.8761746253835986,2.653373826735898
75,4,2,-5.036353691935285,-5.9024678251059575
52,1,2,-7.196157552586851,-6.115993177112679
166,1,1,-2.6300109949304393,1.1465447968852591
217,2,1,-1.4369667898105278,1.6623985943475819
54,4,2,-6.491126998569198,-4.938139450352235
72,1,1,-0.4868156325509026,1.9884596989209498
218,3,1,-0.6346120185306858,1.804360000501119
54,3,1,-0.723622456341545,1.8735617356193652
38,2,1,-1.8136048955941733,2.3168153506536777
170,4,2,-6.4058518586035635,-4.376724072305401
190,2,2,-6.706451180259709,-4.853917440623662
239,4,1,-3.2814563592718855,0.10573624887460185
245,1,1,0.13905756681133227,3.6833393073579583
129,3,1,-0.13794979914586988,3.3592122012990724
130,4,2,-7.317774593175773,-6.386058849418704
23,0,1,-0.2780724912876462,2.2857017055811544
113,0,1,0.9423713983447735,2.4758611266993076
6,4,1,-1.8223725060254812,1.4811370236154042
51,2,1,-0.6114222583374737,3.271902136588111
18,0,1,-0.803351171263569,2.7184944500550863
187,4,2,-5.133029552136231,-4.949861463429027
189,3,1,1.9688441900483054,2.922886425303301
204,4,1,-1.7235646898421768,2.443856280119255
52,0,2,-5.56284487353356,-4.30641036063173
176,3,1,0.10696993449923312,3.5727207040129016
12,0,-1,-0.7312531665554176,-1.0771882488893234
61,2,1,-2.7147036745635895,2.4184901427512266
191,1,1,1.3084059952249503,2.3617409741295314
92,0,1,1.4967840706735638,3.031278376110377
217,0,1,1.383065045066273,3.737709066075803
217,4,2,-5.944216896787854,-4.492447502644606
157,2,1,-1.642017149039216,1.8383678105236816
102,2,1,-0.607993562616065,2.3220208932950723
112,0,1,-2.264069525442243,1.9583803602427845
90,3,1,-1.6433062833420309,1.0105951583859711
38,4,1,-0.9750655478149538,3.266056336462063
31,4,2,-5.3148317715564755,-6.853379556123042
74,2,1,-1.4357543245019082,1.6342002884406208
83,4,1,-1.9590769802102859,1.157241087971112
1,4,1,-2.320822754696529,0.14056286714693939
128,3,1,-0.7507889391049337,1.818434898064298
40,3,1,-1.324858490153119,1.9459132824779557
161,3,1,-1.502002274175656,2.8894908375429798
130,0,1,-2.23529905865257,0.8428526379582166
7,4,1,0.29248029469624487,2.781655760381894
42,1,1,-0.969039410647283,1.8953485569393207
218,2,1,-1.6835647881749694,2.6283942939102793
115,3,2,-7.301458330826921,-5.531850456012176
81,1,1,-1.4232937320963772,2.961750663557269
221,1,1,-2.682649550172635,1.523329889047783
67,2,1,-0.28019123804808044,2.03945692260536
197,1,2,-6.271596147869005,-6.095038274834549
242,3,1,-0.4904753397644606,2.279068050442417
60,1,1,2.386106530547161,3.718906621420686
6,1,1,1.7203232162745339,2.6444253120166072
