seed,sample,cluster,PC1,PC2
128,4,0,-35.56187144361579,-0.13459010958338918
147,3,0,-34.52396059783256,-0.33838734843354634
97,1,0,-35.04677165169236,-0.5580691838076776
147,1,0,-35.554769994830586,0.43480574757650947
236,0,0,-34.790003687551426,0.05908097188090703
59,3,0,-35.420925360267134,-0.10418142531530074
229,3,0,-34.58228095006308,0.7430268485496204
31,1,0,-34.818405800253814,-0.07088281545222506
123,3,0,-34.4465000362093,0.05458406988556208
236,3,0,-34.8262725207738,-0.23259788700111905
17,1,0,-36.30973687904666,0.26648855394072474
59,0,0,-34.58457468823301,-0.11202109458951966
201,3,0,-34.99503764675401,0.299536286531991
105,1,1,29.45825623953783,3.459809660456549
144,4,0,-34.369175778102395,-0.5193776058323386
125,4,0,-36.11071621064935,0.14606561134681964
241,2,0,-34.280719400306026,-0.10695248402781568
203,2,0,-33.48832623117752,-0.6032617465940335
54,1,0,-34.75096918976247,-0.10533037093990685
122,3,0,-35.366152013351275,-0.16982734983993844
85,2,0,-35.37405363936756,-0.3507844010232519
74,2,0,-34.70177384354651,0.4883579839672661
74,4,0,-34.47372944091595,0.09945010025293738
232,1,0,-34.98650631737018,0.2582405261581172
183,4,0,-34.01919557761278,0.11639829802229246
86,2,0,-34.61833745587976,-0.395521913857954
27,4,0,-34.276940703607096,0.1796972422859695
75,1,0,-35.1301203007868,0.09079780217175469
128,3,0,-34.22420020209976,-0.35792180699070697
148,1,0,-35.689730570137925,0.27880444295190565
247,2,0,-34.61635173830032,0.020409106539654435
246,2,0,-34.750939994231935,-0.10537108745657606
118,3,0,-35.50008068630223,-0.34230096848218217
227,3,0,-35.02970166709534,-0.14054085900118213
205,1,0,-34.903485839133005,-0.12832218975332116
97,4,0,-35.69886439597264,0.8517464987392912
227,0,0,-35.083543792498546,-0.11187959710738483
38,4,0,-35.11726492266806,0.8863407202189036
139,0,0,-34.53848920252661,0.36482579568530876
196,4,0,-34.640452499030474,0.10873817815389958
24,1,1,29.04342544479678,3.137948360097532
154,4,0,-35.42706643461228,-0.37638998530780154
100,0,0,-35.66190685834546,0.4446620771224899
17,3,0,-34.311172444534634,-0.04500700692420515
147,0,0,-34.9265757204877,-0.07274478904738237
115,1,0,-34.408239301801444,-0.11251155453474183
21,0,0,-34.32481135529525,-0.26962890268244083
242,4,0,-34.58557130320123,0.3008715827252271
239,3,0,-33.888835840675384,-1.029208963451069
182,0,0,-35.178464366495824,-0.03323324888448941
40,1,0,-35.01342623886012,0.19537807362962437
192,3,0,-34.70360469371646,0.09331437408987453
198,1,0,-35.94962963153622,0.6195804608022705
125,2,0,-35.042520591635004,-0.014871047760470022
198,2,0,-33.82644414547658,-0.41088056808093354
105,4,1,27.658082319313934,3.3618694822187662
26,2,0,-33.91566852363628,0.41785221313147314
21,1,0,-34.44176639189301,-0.36587067347443414
14,0,0,-34.39765142083809,-0.22319632163498432
19,3,0,-34.742093728107115,-0.06929516381382012
246,1,0,-35.23360113560742,0.03335045497673631
60,2,0,-35.07025373442747,0.632739226138731
52,4,0,-34.800901321513486,0.41390549355626843
90,0,0,-35.32195845866278,0.03601725091196086
66,1,0,-34.76122487365761,-0.5560600032631997
205,2,0,-34.46262015860166,-0.2466667872906882
18,2,0,-34.73803370228369,-0.012233316967154092
75,0,0,-35.120587910874676,0.18141617881743716
246,0,0,-34.99088050009685,0.13057352819920232
246,4,0,-35.408867211806545,0.24265007135741493
131,1,0,-36.049996161709366,0.2607166204012828
66,0,0,-34.98368149724387,0.2137750520237984
192,2,0,-34.421540227061854,-0.028854866752723442
95,3,0,-34.407547651452646,0.45442523503079496
31,4,0,-34.38855398590951,-0.21856442215709165
60,0,0,-34.82931093796981,0.4595834685486549
238,3,0,-34.950607276102005,-0.21524295464212076
25,1,0,-34.946278483804754,-0.2474629916999191
161,3,0,-35.14792652703927,0.08821990440325346
117,2,0,-34.20311864343097,-0.0531032775865237
25,2,0,-34.62122909415005,-0.4566040505015321
97,2,0,-35.05225155820357,0.24081347150159046
59,2,0,-35.19257269610894,-0.10467358173186024
126,4,0,-35.90663141086851,0.3446405109909823
26,3,0,-35.55388118263117,-0.2153199971579596
217,0,1,28.719377210823804,2.9615484190299313
66,2,0,-35.03276028837177,0.6831657580874431
99,1,0,-34.86214486764762,0.6175868049197515
1,1,0,-33.92817589376248,0.5347356384901066
182,1,0,-34.83177474178088,0.6415189720051667
75,3,0,-34.77103730003437,0.5590754376583019
247,4,0,-34.55443643229124,-0.1383778502742258
54,3,0,-34.44894957360402,0.3070246856230901
51,1,0,-35.790480495511474,0.06395651723290444
117,0,0,-36.0408282113436,0.4604807143400058
175,1,0,-34.852523303702185,1.1520012813434004
11,2,0,-35.351999971717866,0.08367274882101632
80,2,0,-35.37335537874147,0.04315720981005104
241,3,0,-35.51196452221691,0.13160682799900567
234,2,0,-34.318383593614556,0.03865769058601147
205,3,0,-35.334883859600495,0.14449739299080333
44,0,0,-34.17162925609688,-0.35964168567210997
189,4,0,-35.30707132005013,0.5131513497359823
94,3,0,-35.38546598411897,0.18672116218451854
134,3,0,-34.26197960415223,-0.36403539719723316
67,1,0,-35.55611572929857,0.09809504635238692
146,1,0,-35.34648103076001,0.01053328004077313
223,0,1,28.535017081677175,2.8684660265795534
122,1,0,-36.17179816280848,0.313922458796263
243,3,0,-35.826434848618085,-0.19572764400255185
86,3,0,-35.25963932757321,-0.0029115652304812197
24,4,1,28.748497830829773,3.369178258073917
139,1,0,-35.162175835693084,-0.07961165548546059
72,0,0,-35.352992098908686,0.39458810706047426
202,3,0,-34.81785139518978,-0.1860975597543753
148,0,0,-35.30233623440352,0.36220193959206676
131,4,0,-36.24484494418781,0.9126153834017757
228,3,0,-35.43514486966574,-0.42204583522692224
82,1,0,-34.295201633707414,0.5684523201657599
77,4,0,-34.571720124125996,0.3642088267059917
74,1,0,-33.64456980303244,-0.12012610200220236
173,3,0,-35.686833682009784,0.19324502232885274
105,3,1,28.39995696833838,2.9416834381174914
59,1,0,-34.46109191794308,0.26233731776682323
183,1,0,-34.78568462409222,-0.22262352086813023
223,4,1,29.133554619856916,3.6666457785800315
118,1,0,-35.07186239079869,0.3824045552182779
127,3,0,-35.03968673148027,0.8492515288111062
40,2,0,-34.81939102533594,0.029722704849125228
85,1,0,-34.726836248204265,0.19577840771951763
196,3,0,-35.756096551753274,0.8363231156356717
226,4,0,-35.66123440764435,0.2664349009609086
235,0,0,-34.84212819652544,0.5386420505516949
23,2,0,-34.05442027128319,-0.22461393356084128
98,3,0,-34.10480325629618,-0.20491241339483862
213,1,0,-34.38452662473945,0.6367694028736267
100,2,0,-34.86761899288521,-0.5768197827229415
221,1,0,-34.59509753407651,-0.35132563866169014
183,3,0,-33.873511784243966,-0.05999754158328668
118,2,0,-34.43659885411012,-0.26888302658086144
198,4,0,-34.98502051863685,-0.11765387903317841
122,4,0,-34.84260489759946,-0.14630355614322862
