seed,sample,cluster,PC1,PC2
202,0,0,6.117363726801725,3.539870994356193
235,4,0,4.95159538967851,-0.8528035660111284
186,2,1,-38.910639827353286,1.7766636765221373
17,1,0,2.236724475175095,-7.15474980251804
137,3,0,5.703394215484725,0.7460638846844513
31,4,0,4.079678310020053,-8.979997028572152
113,1,0,5.850626919917281,3.770378995395856
199,0,0,5.772703985579632,0.8024239239358181
51,3,1,-38.672085978304615,1.3684956950239588
210,3,0,2.654654641770348,-7.779614689444043
101,1,0,7.023413509109987,2.0842762193455893
33,0,0,5.677812638992177,1.3803201921538466
150,2,0,5.465351114211665,3.613952422715175
152,3,0,5.698953153543041,3.5809524644636705
126,1,0,5.900991919065605,3.158298476334803
113,3,0,5.504460845350502,3.831755878349193
8,2,0,5.413165153841928,3.794855915057312
171,1,0,4.976140699869981,3.168650198741742
165,3,0,5.86823293201538,3.2764012310511443
112,2,0,5.650098048876812,3.7323080958687456
189,1,0,6.210020617228336,3.843516584929716
170,2,0,2.453420729218787,-7.672758861333375
225,4,0,5.590564748854576,0.43669374772512365
15,3,0,5.503684087374315,2.995569529537634
196,1,0,5.362770086173547,1.6991423768565785
148,0,0,5.554525478823492,1.4844856333456549
224,4,0,4.9178828523190194,3.747167092881462
66,0,0,5.573501581697029,0.20403284066052546
196,2,0,1.599178345144635,-7.867141497540566
33,1,0,4.649322238799474,2.9019914417239807
210,4,0,1.1460197394412799,-0.5231243160894058
102,3,0,5.889148524770157,-1.016450809302635
250,3,0,1.8874219414024596,-8.41211322878464
123,4,1,-38.981867682996715,1.7008451928432073
101,0,0,5.834149806899372,3.880164729005318
39,3,0,5.73528721578277,2.9128894948902393
126,4,0,5.288729946983249,2.079879886572187
13,4,0,5.956079965210859,3.522917608489604
118,2,0,5.994426792028822,3.4254957917941145
59,2,0,5.922310113205465,3.6435648631961968
111,4,0,6.317904630284372,3.8852700014879487
84,3,0,1.347576777085523,-6.064495256782959
104,3,0,5.4610582649466535,1.6435872992053036
93,1,0,5.547566930117545,1.8167603085241528
162,4,0,6.55200656139443,1.7422570718406714
101,2,0,5.327359473092716,1.652942254220617
200,4,0,6.094529710683169,3.969617642460242
77,1,0,6.119954167711935,-0.015168287456470433
216,3,0,1.3883319954991742,-8.175037817126714
18,3,0,6.834039942443234,3.664875338274248
88,0,0,5.522178321774185,3.5107501673800905
93,4,0,5.937921015188619,1.7273321970260769
23,4,0,5.359128179261464,4.13051144758617
196,4,0,6.109409643620524,1.8904673845347888
27,1,1,-38.78561996017699,1.4627058807081312
129,1,0,5.622590281848838,1.7389890238384171
193,2,0,5.631435199955458,1.6754774919882995
200,2,0,5.377402276846847,3.8354874817365268
148,3,0,6.056923263635052,1.8702269759048193
129,4,0,4.9385867488765784,2.4892561203038173
83,3,0,0.4313711392648802,-4.363652118318908
210,1,0,5.384367942937261,1.2448013129379443
26,0,0,5.133226827654568,3.1243311205434914
161,1,0,6.129153833435513,3.6339948293232074
203,3,0,5.4957912055011295,3.5724968047477703
37,4,0,5.259427390543192,0.8709661829134833
126,3,0,2.857613299607087,-8.50271043424215
58,4,0,5.391611204670142,1.4631850085669718
199,3,0,5.418314002680681,0.65765918034901
104,2,0,3.198380559052589,-0.07507544607343494
198,0,0,5.268077119694258,3.8581311409574632
158,4,0,0.4941694608978798,-3.2252819351293165
245,0,0,5.2214493411194,3.840188467247378
220,4,0,5.407682930643714,3.5527775246365323
27,0,1,-39.057216265818084,0.9859281742426849
64,4,0,5.885530329271482,-0.3332161585268884
185,3,0,5.867951480577304,1.9116156966731328
62,2,0,2.231592275231076,-7.148421179817599
120,1,0,4.249945589216758,0.7014373174886464
134,1,0,6.059617466040991,3.416841241735929
81,1,0,7.116814355741456,1.1989452245427503
104,4,0,5.183639988853542,1.6234854028857404
103,2,0,5.3567716814705735,-1.2367370502630093
189,2,0,6.29981574792005,3.667823182943931
6,2,0,6.298176848690483,2.019073519326177
24,0,0,3.778872558117089,-6.780173274487983
122,3,0,2.9480806364100927,-7.078457010732868
127,0,0,3.44591039463275,0.42612640999271706
40,4,0,5.449774548904672,3.735731067179086
173,1,0,5.302552992060971,2.1375570865177167
103,3,0,6.654023544491641,3.652625280000538
21,4,0,5.248928014358519,1.9466841941576447
39,2,0,5.53046890113688,3.412359070744642
230,4,0,1.9488958855611047,-8.683504854062607
53,4,0,5.133363821623264,3.096184470942071
17,2,0,4.740706454980094,1.5395882482583643
39,4,0,4.504135978099989,1.2283683383223665
90,2,0,5.539630422546125,1.947567231888479
40,3,0,4.7885578717162405,1.6033243391039673
234,4,0,5.920045681013477,3.7158926914049863
201,0,0,5.546508202875358,2.190663726657076
185,0,0,6.208864726166135,4.03297188227315
167,1,0,5.797553083943166,3.211552297069374
134,2,0,6.297202212277261,3.4723969005122832
106,3,0,6.0464794392878645,1.5966589295231208
206,3,0,4.488722820344442,2.792143640955704
5,1,0,2.7925294718555578,-5.548512176015731
236,3,0,5.142397592782018,3.5327525920166525
70,0,0,-0.06803830484852169,-6.2343840505999175
228,0,0,5.643325669824494,0.6775429445705036
91,1,0,6.140204017422428,0.741562430081719
37,3,0,6.649376623000513,3.8742945171198047
138,4,1,-37.929854764373,1.094807387357173
240,1,0,5.620927126645196,1.8541550749423226
94,2,0,5.221104515403448,-1.504381657083378
82,3,0,5.358001375545187,1.2827376130808898
185,2,0,5.585538025861624,-0.33281083759116853
177,2,0,5.560451671873178,1.8720719818602873
240,0,0,5.990613323529986,2.047773168017896
117,0,0,5.9388071331122685,3.9495126880906963
107,1,0,4.627493368778048,3.4687180057929474
249,2,0,2.3798299421679063,-6.10378275416334
229,1,0,5.780735945184616,3.702952880224601
220,1,0,6.186823945081347,-0.7297762323954563
177,4,0,5.54651213063524,2.7745785989982603
7,0,0,1.0994564215209157,-7.133923759611823
187,2,0,5.119762297040021,3.3353093778474006
147,2,0,6.663270105877728,3.9331991770256307
246,4,0,5.494493570218664,3.7967833735020236
125,1,0,6.477016828121433,2.236020184430582
60,2,0,5.433552200361722,2.8963162513946514
181,4,0,6.6493604391348535,1.0923620432440848
19,3,0,6.079934616414535,3.582175893125542
153,1,0,5.852313964661088,3.146419818231408
220,2,0,5.457704816673062,3.6454381942625083
20,4,0,5.870062980600662,3.5274620301959643
179,2,0,6.333311450672296,1.4451442398189225
154,4,0,5.402680074434249,1.8837450087187986
123,2,1,-38.83862628035612,-0.369098428446075
130,0,0,4.972455567359536,3.069707244677179
57,4,0,1.4652086926783001,-7.686877401067531
32,1,0,5.100711429037114,1.189243357058186
135,0,0,5.899702500948369,3.4361462203446944
170,1,0,5.572607492150467,1.8659268477423883
62,3,0,5.220734381859256,3.5179414056018325
55,4,0,6.169771941619288,0.9872897523942352
234,1,0,5.433476595953018,2.991247276512151
193,3,0,5.040414573515106,3.4908599169178505
115,1,0,5.144314127362638,1.6453856299618064
168,1,0,5.500718910790587,0.86683515146023
201,1,0,2.829937472484077,-7.037607044724286
131,1,0,6.099924327259816,3.0404237265592817
143,1,0,4.762882423725943,3.1212804089797337
32,2,0,6.316010757895686,0.997652769705967
90,1,0,5.1536457281725045,3.988452177627181
33,4,0,5.846354021872928,1.6673550629740919
194,0,0,5.454349065821764,3.6466616949337287
166,2,0,1.4326536671631498,-7.972061938256864
12,1,0,5.814574613684763,3.753210418902775
219,4,0,5.629946607890065,3.0693336064583026
127,2,0,1.625032058112752,-9.15869886663631
148,1,0,5.563675808502445,2.0209747734792853
22,1,0,7.141512951677591,1.7944636496332274
143,3,0,5.825805658558835,1.7375580359944742
112,1,0,5.406015751579157,-0.7333096358799343
20,0,0,3.1297230960482625,-8.497602831884977
58,3,0,4.050561194761398,-10.338914152747366
78,1,1,-38.367836881317565,-0.5532270020241064
152,0,0,1.798595253580033,2.3625652227402627
188,4,0,6.139036204899228,1.4775548665794138
169,0,0,3.0061459473294576,-9.445825471211036
186,1,1,-39.201403445574385,1.9282008059390807
