seed,sample,cluster,PC1,PC2
64,4,0,-1.0011030313235714,-1.160766894013873
115,0,0,-1.2689094006261872,-0.8879200618875153
97,1,0,-0.6832227885141181,-0.40921160474186424
5,0,0,-0.96448812718808,-0.6087978627317531
158,2,0,-0.194526963915953,-0.5154949225179145
213,2,0,-1.019020794930639,-0.5212406278969749
115,1,0,-0.410226869335707,-1.0257730277553454
150,2,0,-1.0388399589669244,-1.0208968640554545
28,4,1,-0.6993222962388097,4.732917785316512
123,3,0,-0.23202298217914044,-0.7290260008625237
199,3,0,-1.0158698743547037,-0.8579250725941657
16,2,0,-1.1743408165965226,-1.2734117609906903
45,2,0,-1.1789917405036436,-1.172175859501273
204,0,0,-0.9324403604872454,-0.2363910440117639
48,0,0,-1.3809289759823549,-0.6827162952238349
185,0,0,-1.0919900288593332,-0.256775588751423
42,3,0,-1.146912077540152,-0.7427782743176107
150,1,0,-0.6389205176466115,-0.39353854154993734
220,1,0,-0.7885123738016171,-0.6804221393952729
216,3,0,-0.30796776258662656,-0.6979503814177935
199,4,0,-0.5280477845808175,-0.08602510891954779
150,4,1,-1.2888517247409215,4.428914764269559
219,1,0,-1.0853521485714612,-0.8685121222329584
154,4,0,-1.3141816974500482,-0.5741480186864305
54,1,0,-0.9306999325016649,-0.2816631755851764
163,0,0,-0.48651106198532956,-0.18758883137173196
199,2,1,-0.9043824364001962,5.373242974804275
176,1,1,-1.150335307041278,4.569241028242833
203,4,0,-0.7538827641402546,-0.6893633977314475
185,1,0,0.10961380676822477,-0.1763926788523948
137,0,0,-0.5229513315238347,-0.6777045032824037
75,4,0,-0.5057560184308512,-0.8666827610933665
238,2,0,-0.7015598473968142,-1.0255696214962158
17,0,0,-1.4250674428592143,-1.124588127755571
35,0,0,0.22501475984652025,-0.4670682276192942
196,0,0,-0.24921991560726045,-0.5365616045651375
126,2,0,-0.6072047318957899,-0.9191883181883646
148,1,0,-1.3091423045570876,-0.6264128110124182
11,1,0,-0.6659745396127966,-0.37086992032153054
199,1,0,-0.8770117568176762,-1.5857012260365033
104,2,0,-0.22584201025404785,-0.42374779322323597
7,3,0,-0.47043702652837727,-0.6087241953337065
72,2,0,-0.3641411827761879,-1.069624350339382
6,0,1,-0.8595640568858489,4.769914328673876
98,0,0,0.057321522663352144,-0.40806831417389994
198,4,0,-1.009099898142825,-0.5198882078977562
165,2,0,-1.0666426941337543,-0.6274281700286279
90,0,0,-1.407074919314815,-0.7297973522102675
5,1,0,-1.1398463773890115,-0.937840466030074
150,0,0,-0.8263434730943899,-0.2223767869997484
97,4,0,-1.6574853547424513,-0.5655763253486352
216,4,0,-1.2872135087140768,-0.6290899030994668
188,2,0,-0.44589380050744865,-0.6549549113931615
186,3,0,-0.8548493467608154,-0.6091475743594909
100,0,0,-1.530458777679298,-1.1561209281804095
250,2,0,-0.017531175946351514,-1.0385181973845423
50,0,0,-1.1270829420064865,-0.6897360165857763
44,1,0,-0.6954687512887272,-0.3326374936870973
36,3,0,-0.823126312776029,-0.6386653535066621
50,4,0,-0.1876411781804665,0.037586657148803236
203,2,0,-0.24743131344783223,0.2405993415095622
236,0,0,-0.8483527888528599,-0.9889969917084677
7,2,0,-1.1844447772874338,-0.779757198130615
239,3,-1,0.2532235045509105,5.0988504213674615
244,0,0,-0.3828536092640527,-0.3950469254521345
163,1,0,-0.7771211397753,-0.7299223077658766
90,1,0,-0.8743778804222865,-0.9204971387222339
168,4,1,-1.33712358415609,5.19572125929079
20,4,0,-0.11414216531259114,-0.31013015826386037
150,3,1,-0.2471947387103698,5.032361117001642
173,4,0,-0.7083027535074653,-0.5326548255244069
62,1,0,-1.2100178686329992,-1.3677070567074756
51,2,0,-0.9772205938423004,-0.29076462076528825
185,2,0,-0.8444684591190676,0.08373855055750395
186,2,0,-1.4282384428451074,-0.8344948435476058
90,2,0,-0.6276538268053105,-0.45085241518356844
206,3,0,-0.9932162868803375,-0.6108678779282658
185,3,0,-0.6527171155010534,-0.7915282399254995
145,1,0,-1.144474111920708,-0.8136612809430136
20,0,1,-1.1186115500073104,4.562549778504387
138,0,0,-0.15314324992669062,-0.4280294250173736
50,3,0,-1.342814069095919,-0.6571815522198126
163,3,0,-0.20516512961071234,-0.3306292456458905
64,3,0,-0.27918605034396815,-0.5776321275853287
216,0,0,-0.5729021998474333,-0.898170059872972
72,0,0,-1.2023832734507447,-0.446009812676037
213,1,0,-0.41793953597843725,-0.9842316342779314
237,0,0,-0.6766455077805277,-0.5415745695079507
120,4,1,-0.46626856608703476,4.488855916568388
90,4,0,-0.6641972317775082,-0.6176901938990843
219,3,0,-0.9738531442380988,-1.2690458330182601
5,2,0,-0.7318223547418437,-1.17124667654303
28,0,0,-0.9126226009943177,-0.8685811901245969
36,0,0,-0.43342306648890566,-0.2546693066582314
21,4,0,-0.7304244223829804,-0.4321989322717865
140,2,0,-1.5972404853749238,-0.9747704356270999
10,3,0,-0.5120766519801294,-0.5934616530396811
49,0,0,-0.7421405301616093,-0.9248003037043192
24,1,0,-0.6083767478983948,-0.8048996276109722
239,2,0,-0.3046721328615272,-0.9033982055702463
51,3,0,-1.2448803299873532,-0.8628529698909395
31,2,0,-0.07451373350683377,-0.6435841392560371
182,3,0,-0.9930107099080554,-0.44239618346771925
50,1,0,-0.4089167198173282,-0.45141134580023484
51,1,0,-1.6965495722719517,-0.7432726072977286
119,0,0,-1.4475668935177997,-0.7042509866193009
45,0,0,-0.6511443699032722,-0.5882609748290204
35,3,0,-1.3100941713242569,-0.8751907249290543
119,2,0,-1.1407723895820818,-0.5611242991531828
165,1,0,-0.7817758420470091,-0.7293516198037016
104,1,0,-0.20448651036891513,-0.6073993764782296
75,1,0,-0.9416727079672236,-0.6788776716150585
80,2,0,-1.3072722144844489,-0.5181215280331058
20,3,0,-0.8472753673086165,-0.30321343303810233
12,0,0,-0.8172017566740879,-0.49643812498614825
138,1,0,-0.812607662782018,-1.0599109556521533
153,3,0,-0.9599050996814906,-0.08792417080560906
189,4,0,-0.9647421508063911,-1.0563943919674783
11,3,0,-0.7087064764340224,-1.1738419386097725
216,1,0,-0.21865017401213435,-1.1941561740996678
239,1,0,-0.9802571102276225,-1.0443020469935584
35,1,0,-0.5329272187147199,-1.0209602518515573
132,3,0,-0.5710498388412473,-0.7184382067404758
58,2,0,-0.9651731520886545,-0.7111764258091506
51,0,0,-0.6942755644359145,-0.9052800300378624
227,3,0,-1.2119989062191712,-0.9089452937422204
79,1,0,-1.548570376664417,-0.7561821815201389
137,1,0,-1.5837118940515178,-0.6084313050199603
81,1,0,-0.26446185560404434,-0.57066808875405
115,2,1,-1.6202348948987846,5.147040246877049
228,2,0,-1.4346196141653242,-0.8088937986073044
176,0,-1,-0.2770752495447227,2.686435543929609
166,2,0,-1.0214764990786183,-0.4602783705691807
124,2,-1,-2.022816381946917,1.85831253498074
45,4,0,-1.2991485747491804,-1.1786126072648286
241,0,0,-0.41942123471049353,-0.33604266487778234
96,3,0,-0.45731165736394613,-0.37375852945142
128,4,0,-1.2780689432574133,-1.244023872490109
38,4,0,-0.8956840134295694,-0.5559599643464345
31,1,0,-0.6035057152735634,-0.9483095601858609
17,1,0,-1.5811038469220944,-0.4858820430696406
213,4,0,-0.6294681465159182,-0.1693551977189078
233,2,0,-1.0704107764621593,-1.2108603304551846
17,3,0,-0.616677363740109,-0.6452734921776029
115,3,1,-0.3525773060946207,4.909227184785416
165,3,0,-0.14130068799239498,-0.4949867801440843
239,4,0,-1.6877062172474597,-0.8904676603478714
20,1,0,-0.6543865688429055,-0.32432158566509467
81,4,1,-0.17748297944949773,4.8732438862940075
213,0,0,-0.9248854571858162,-0.48035748849409804
11,0,0,-0.7269841030897105,-0.7564238166639364
129,0,0,-0.930857567231213,-0.8146646301410927
193,0,0,0.009729236987829742,-0.3047538530412849
96,1,0,-1.2417723288400597,-0.5853524906428682
64,2,0,-0.4303991040013849,-0.6799606037675706
183,0,0,-0.5712023238307017,-0.8532173291471045
191,3,0,-1.317828704617259,-0.7055534401760133
39,4,0,-1.2692245516441258,-1.0374942456450436
63,3,0,-1.0393870565711087,-1.014505567019117
127,4,0,-1.0858181641924916,-0.5140542854363678
172,3,0,-0.7445551475329049,-0.4076445972226642
153,4,0,-1.0340883232755536,-0.7249142895545396
41,1,0,-1.0044511856468712,-0.6156662888924956
91,2,0,0.024953451021379205,-1.1175720467969636
236,1,0,-0.7072098089947577,-0.5121662286931
118,3,0,-1.3999502080072257,-0.34334530580648726
196,4,0,-0.6826104575712099,-0.44094168971167885
68,1,0,-1.2114658689504614,-0.26091322908184317
39,1,1,-1.3914412255841242,4.814947791667997
1,1,0,-0.43841369307015843,-1.2223236984706627
64,0,0,-0.6722858539864565,-0.7682423330630276
208,1,0,-1.4294964168652375,-1.0322902573840647
199,0,0,-0.7355898793307549,-0.8437557518731503
35,2,0,-0.5864978539397359,-0.6056563579847817
229,3,0,-1.089256836076905,-0.6031132071748004
83,3,0,-0.6120079872920992,-0.06647549329661336
35,4,0,-1.009312144345942,-0.4454038988005534
126,4,0,-1.4614975957715708,-0.811952626192552
176,4,0,-0.983567458036927,-0.3540695209443583
75,2,0,-1.0020404585242402,-0.443303647905094
141,1,0,-1.0549870227351463,-0.6076317716074651
154,1,0,-0.9298549380228932,-0.3245961542805282
238,4,0,-1.242358753175342,-0.9606392039588696
196,1,0,-0.9197252014109989,-0.9414394013310371
126,3,0,-0.7692261100363765,-0.49269463851654566
159,1,0,-0.49791442482660064,-0.9398698307964349
132,2,0,-1.3822741303573711,-0.5020120869862638
126,1,0,-0.390085318012636,-1.1264984573632615
193,2,0,-0.8202149427610033,-0.7459648835386674
132,1,0,-0.27218946834681385,-0.307348073487077
46,4,0,-0.6639329278423699,-0.8612949426717669
123,1,0,-0.9550042517818746,-0.41200403630427523
138,3,0,-0.6584136500459323,-0.6162090828491356
52,4,0,-0.8707699934118149,-0.9383514695630505
164,3,0,-0.5056461668327971,-0.6021651345379908
157,1,0,-1.4933235412384924,-0.9163916754712312
214,1,0,-1.2371698445741084,-0.6476901074878154
247,4,0,-0.2279774266065283,-0.4716471859958885
139,0,0,-0.26573269352306345,-0.3038469832680651
111,0,0,-0.4272437509933318,-0.41150270533207617
19,3,0,-0.1786196045685753,-0.7201685993349168
97,3,0,-1.6776090465404987,-0.4567473530056393
58,1,0,-0.5033237199235071,-0.6169136188507055
72,3,0,-0.859622155643896,-0.976716898370849
34,0,0,-0.02873382251204617,0.014221653844977434
10,0,0,-0.4266688366122254,-0.2426185306466953
224,0,0,-0.9806805699232793,-0.49393075902230593
