condition,structure_rank,seed,sample,cif_path,PC1,PC2
WT mono apo,1,90,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-90_sample-2/model.cif,-24.033588997960877,-0.8534430987413888
WT mono apo,2,176,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-176_sample-0/model.cif,21.097457977169913,3.428368991611608
WT mono apo,3,25,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-25_sample-4/model.cif,20.80197777574803,-0.6658508716888161
WT mono apo,4,93,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-93_sample-4/model.cif,21.70796548083018,2.8064782472349914
WT mono apo,5,249,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-249_sample-3/model.cif,20.980367070697863,-1.1675021996241077
WT mono apo,6,30,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-30_sample-0/model.cif,21.48194240876058,-1.2030395565752303
WT mono apo,7,74,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-74_sample-3/model.cif,21.480760320698018,-1.725513413365858
WT mono apo,8,50,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-50_sample-1/model.cif,20.867906662619728,-0.9915977999696255
WT mono apo,9,133,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-133_sample-0/model.cif,20.143764838493862,-1.0729231833377186
WT mono apo,10,25,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-25_sample-0/model.cif,20.466554228736033,3.8286437716035984
WT mono apo,11,51,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-51_sample-2/model.cif,21.9839323379943,-0.6423251530392164
WT mono apo,12,30,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-30_sample-3/model.cif,20.72445606034107,-1.0642255549899866
